food_id,food,food_type,supermarket,count,proportion,total,consumption_total,non_consumption_total,situation_independent_total,sensory_total,positive_total,negative_total,contextual_total,consumption_proportion,non_consumption_proportion,situation_independent_proportion,sensory_proportion,positive_proportion,negative_proportion,contextual_proportion
137,tesco_meat_free_mushroom_risotto_bakes_2_pack,vegetarian,tesco,0,0,9,2,0,7,2,0,0,0,0.2222222222222222,0,0.7777777777777778,0.2222222222222222,0,0,0
138,tesco_2_vegetarian_mushroom_and_camembert_pies,vegetarian,tesco,0,0,13,1,0,12,1,0,0,0,0.07692307692307693,0,0.9230769230769231,0.07692307692307693,0,0,0
139,aunt_bessies_meat_free_toad_in_the_hole,vegetarian,tesco,0,0,5,0,1,4,0,0,0,0,0,0.2,0.8,0,0,0,0
140,hearty_food_co_2_cheese_omelettes,vegetarian,tesco,1,0.16666666666666666,6,3,1,2,3,0,0,0,0.5,0.16666666666666666,0.3333333333333333,0.5,0,0,0
141,egg_fried_rice,vegetarian,waitrose,2,0.2,10,1,2,7,0,1,0,0,0.1,0.2,0.7,0,0.1,0,0
142,waitrose_spinach_dal,vegetarian,waitrose,1,0.14285714285714285,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
143,vegetable_spring_rolls,vegetarian,waitrose,0,0,8,0,1,7,0,0,0,0,0,0.125,0.875,0,0,0,0
144,waitrose_american_creole_inspired_breaded_mushrooms,vegetarian,waitrose,1,0.2,5,1,1,3,1,0,0,0,0.2,0.2,0.6,0.2,0,0,0
145,waitrose_american_jalapeno_poppers,vegetarian,waitrose,1,0.1,10,1,1,8,1,0,0,0,0.1,0.1,0.8,0.1,0,0,0
146,waitrose_1_aubergine_parmigiana,vegetarian,waitrose,2,0.13333333333333333,15,0,2,13,0,0,0,0,0,0.13333333333333333,0.8666666666666667,0,0,0,0
147,waitrose_1_roasted_mushroom_risotto,vegetarian,waitrose,1,0.08333333333333333,12,0,2,10,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
148,waitrose_1_goats_cheese_spinach_ricotta_rotollo,vegetarian,waitrose,2,0.125,16,0,2,14,0,0,0,0,0,0.125,0.875,0,0,0,0
149,waitrose_vegetable_lentil_cottage_pie,vegetarian,waitrose,0,0,7,0,0,7,0,0,0,0,0,0,1,0,0,0,0
